Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 17:09:00.0,2586.5,2591,2586.5,2590,2268,915,1137,1131
2/8/18, 17:12:00.0,2589.75,2590.75,2588,2588,949,477,606,343
2/8/18, 17:15:00.0,2588,2588.5,2586,2586.5,1932,916,1143,789
2/8/18, 17:18:00.0,2586.25,2586.5,2583,2583,2793,1312,1484,1309
2/8/18, 17:21:00.0,2583.25,2591,2583.25,2591,1775,1070,633,1142
2/8/18, 17:24:00.0,2590.75,2592.5,2588.5,2590,1457,788,664,793
2/8/18, 17:27:00.0,2590.25,2592,2589.25,2592,925,491,276,649
2/8/18, 17:30:00.0,2592,2592,2590.25,2590.75,572,272,157,415
2/8/18, 17:33:00.0,2591,2591.5,2587.75,2590.5,929,525,456,473
2/8/18, 17:36:00.0,2590.5,2590.75,2586.5,2587.5,1119,613,668,451
2/8/18, 17:39:00.0,2587.25,2587.25,2584.25,2585.25,1271,608,745,526
2/8/18, 17:42:00.0,2585.5,2586.5,2584.5,2585.25,796,386,433,363
2/8/18, 17:45:00.0,2585.25,2588,2585.25,2587.25,650,455,273,377
2/8/18, 17:48:00.0,2587,2587.5,2585,2587.5,679,340,421,258
2/8/18, 17:51:00.0,2587.5,2591,2587.25,2587.75,1363,616,451,912
2/8/18, 17:54:00.0,2588,2590.25,2587,2587,548,361,257,291
2/8/18, 17:57:00.0,2587.25,2589,2585.75,2588.25,1544,642,550,994
2/8/18, 18:00:00.0,2588.75,2591.25,2587,2590.25,1071,634,463,608
2/8/18, 18:03:00.0,2590.75,2593.25,2590,2593,1502,630,464,1038
2/8/18, 18:06:00.0,2593.25,2594.75,2592,2594.25,1244,683,614,630
2/8/18, 18:09:00.0,2594.25,2597.75,2593,2597.75,1519,943,576,943
2/8/18, 18:12:00.0,2597.75,2600.5,2596.25,2600.25,1814,1103,832,982
2/8/18, 18:15:00.0,2600.25,2602.75,2598.25,2600,2204,1436,1113,1091
2/8/18, 18:18:00.0,2600,2603.75,2599.5,2603.25,1469,1004,613,856
2/8/18, 18:21:00.0,2603.25,2605.5,2603,2604,1406,856,548,858
2/8/18, 18:24:00.0,2604.25,2604.25,2600.75,2602,889,661,551,338
2/8/18, 18:27:00.0,2602,2602,2598.5,2600.25,995,722,524,471
2/8/18, 18:30:00.0,2600,2600.75,2598,2598.25,578,423,339,239
